Date,Winning Numbers,Winning Numbers
"Thu, Dec 02, 1993",['\n\n02\n05\n06\n10\n15\n16\n24\n25\n26\n29\n33\n35\n41\n43\n57\n58\n60\n68\n75\n78\n\n'],   02 05 06 10 15 16 24 25 26 29 33 35 41 43 57 58 60 68 75 78   
"Wed, Dec 01, 1993",['\n\n05\n09\n14\n22\n31\n41\n44\n47\n49\n50\n51\n55\n56\n63\n65\n66\n67\n70\n71\n79\n\n'],   05 09 14 22 31 41 44 47 49 50 51 55 56 63 65 66 67 70 71 79   
"Tue, Nov 30, 1993",['\n\n01\n02\n05\n09\n13\n16\n17\n18\n23\n24\n32\n33\n40\n44\n53\n58\n68\n75\n77\n79\n\n'],   01 02 05 09 13 16 17 18 23 24 32 33 40 44 53 58 68 75 77 79   
"Mon, Nov 29, 1993",['\n\n05\n08\n12\n14\n17\n21\n24\n25\n27\n45\n48\n51\n58\n59\n65\n69\n70\n75\n76\n77\n\n'],   05 08 12 14 17 21 24 25 27 45 48 51 58 59 65 69 70 75 76 77   
"Sun, Nov 28, 1993",['\n\n02\n04\n10\n11\n15\n17\n27\n29\n31\n38\n41\n50\n56\n62\n65\n66\n73\n74\n78\n80\n\n'],   02 04 10 11 15 17 27 29 31 38 41 50 56 62 65 66 73 74 78 80   
"Sat, Nov 27, 1993",['\n\n05\n07\n12\n24\n30\n32\n37\n41\n42\n45\n51\n52\n54\n56\n60\n63\n65\n66\n77\n78\n\n'],   05 07 12 24 30 32 37 41 42 45 51 52 54 56 60 63 65 66 77 78   
"Fri, Nov 26, 1993",['\n\n01\n03\n05\n08\n10\n12\n26\n36\n39\n45\n53\n54\n56\n57\n58\n60\n64\n65\n68\n78\n\n'],   01 03 05 08 10 12 26 36 39 45 53 54 56 57 58 60 64 65 68 78   
"Thu, Nov 25, 1993",['\n\n04\n11\n16\n18\n25\n26\n28\n30\n31\n34\n36\n38\n44\n48\n54\n58\n59\n60\n69\n80\n\n'],   04 11 16 18 25 26 28 30 31 34 36 38 44 48 54 58 59 60 69 80   
"Wed, Nov 24, 1993",['\n\n01\n11\n14\n18\n21\n25\n35\n36\n37\n39\n40\n48\n49\n54\n61\n63\n65\n66\n74\n76\n\n'],   01 11 14 18 21 25 35 36 37 39 40 48 49 54 61 63 65 66 74 76   
"Tue, Nov 23, 1993",['\n\n06\n11\n16\n21\n23\n27\n29\n33\n36\n42\n46\n57\n58\n59\n60\n62\n63\n69\n75\n79\n\n'],   06 11 16 21 23 27 29 33 36 42 46 57 58 59 60 62 63 69 75 79   
"Mon, Nov 22, 1993",['\n\n01\n14\n25\n28\n30\n31\n33\n39\n41\n43\n44\n45\n48\n49\n53\n63\n65\n67\n74\n76\n\n'],   01 14 25 28 30 31 33 39 41 43 44 45 48 49 53 63 65 67 74 76   
"Sun, Nov 21, 1993",['\n\n02\n05\n08\n09\n13\n16\n29\n31\n35\n45\n47\n53\n57\n59\n61\n62\n65\n69\n73\n78\n\n'],   02 05 08 09 13 16 29 31 35 45 47 53 57 59 61 62 65 69 73 78   
"Sat, Nov 20, 1993",['\n\n01\n04\n05\n08\n12\n14\n18\n19\n25\n28\n35\n36\n38\n40\n48\n57\n58\n59\n63\n74\n\n'],   01 04 05 08 12 14 18 19 25 28 35 36 38 40 48 57 58 59 63 74   
